--SET PAGESIZE 100
--SET LINESIZE 150
DELETE FROM Member;

ALTER SESSION SET NLS_DATE_FORMAT='YYYY-MM-DD';

INSERT INTO Member VALUES ('MEM0000001', 'John', 'Doe', '1995-04-12', '0198765432', 'M', 'johndoe@example.com', '2023-01-15', '2025-01-15');
INSERT INTO Member VALUES ('MEM0000002', 'Emma', 'Smith', '1996-06-24', '0187654321', 'F', 'emmasmith@example.com', '2023-02-10', '2025-02-10');
INSERT INTO Member VALUES ('MEM0000003', 'Liam', 'Johnson', '1994-08-15', '0196543210', 'M', 'liamj@example.com', '2023-03-05', '2025-03-05');
INSERT INTO Member VALUES ('MEM0000004', 'Olivia', 'Brown', '1997-11-30', '0185432109', 'F', 'oliviab@example.com', '2023-04-20', '2026-04-20');
INSERT INTO Member VALUES ('MEM0000005', 'Noah', 'Williams', '1993-12-10', '0194321098', 'M', 'noahw@example.com', '2023-05-12', '2026-05-12');
INSERT INTO Member VALUES ('MEM0000006', 'Ava', 'Jones', '1995-07-08', '0183210987', 'F', 'avaj@example.com', '2023-06-08', '2026-06-08');
INSERT INTO Member VALUES ('MEM0000007', 'James', 'Miller', '1992-05-19', '0192109876', 'M', 'jamesm@example.com', '2023-07-03', '2026-07-03');
INSERT INTO Member VALUES ('MEM0000008', 'Sophia', 'Davis', '1996-03-21', '0181098765', 'F', 'sophiad@example.com', '2023-08-16', '2026-08-16');
INSERT INTO Member VALUES ('MEM0000009', 'Benjamin', 'Garcia', '1994-09-02', '0199876543', 'M', 'benjaming@example.com', '2023-09-10', '2026-09-10');
INSERT INTO Member VALUES ('MEM0000010', 'Isabella', 'Rodriguez', '1993-01-28', '0188765432', 'F', 'isabellar@example.com', '2023-10-05', '2026-10-05');
INSERT INTO Member VALUES ('MEM0000011', 'Henry', 'Martinez', '1997-06-17', '0197654321', 'M', 'henrym@example.com', '2023-11-20', '2024-11-20');
INSERT INTO Member VALUES ('MEM0000012', 'Mia', 'Hernandez', '1995-02-14', '0186543210', 'F', 'miah@example.com', '2023-12-14', '2024-12-14');
INSERT INTO Member VALUES ('MEM0000013', 'Alexander', 'Lopez', '1993-06-11', '0195432109', 'M', 'alexl@example.com', '2024-01-05', '2025-01-05');
INSERT INTO Member VALUES ('MEM0000014', 'Charlotte', 'Gonzalez', '1997-09-30', '0184321098', 'F', 'charlotteg@example.com', '2024-02-10', '2025-02-10');
INSERT INTO Member VALUES ('MEM0000015', 'Daniel', 'Wilson', '1990-08-25', '0193210987', 'M', 'danielw@example.com', '2024-03-07', '2025-03-07');
INSERT INTO Member VALUES ('MEM0000016', 'Amelia', 'Anderson', '1994-04-18', '0182109876', 'F', 'ameliaa@example.com', '2024-04-05', '2025-04-05');
INSERT INTO Member VALUES ('MEM0000017', 'Matthew', 'Thomas', '1992-11-08', '0191098765', 'M', 'matthewt@example.com', '2024-05-12', '2025-05-12');
INSERT INTO Member VALUES ('MEM0000018', 'Harper', 'Taylor', '1996-05-27', '0189876543', 'F', 'harpert@example.com', '2024-06-01', '2025-06-01');
INSERT INTO Member VALUES ('MEM0000019', 'David', 'Moore', '1993-12-14', '0198765432', 'M', 'davidm@example.com', '2024-06-02', '2025-06-02');
INSERT INTO Member VALUES ('MEM0000020', 'Evelyn', 'Jackson', '1991-07-05', '0187654321', 'F', 'evelynj@example.com', '2024-06-03', '2025-06-03');
INSERT INTO Member VALUES ('MEM0000021', 'Joseph', 'Martin', '1994-09-17', '0196543210', 'M', 'josephm@example.com', '2024-06-04', '2025-06-04');
INSERT INTO Member VALUES ('MEM0000022', 'Luna', 'Lee', '1997-01-29', '0185432109', 'F', 'lunal@example.com', '2024-06-05', '2025-06-05');
